basename,deepest_name,names
213_20210905050256_2415_t,Limoniidae,"['Insecta', 'Animalia', 'Diptera', 'Limoniidae']"
192_20200724194326_17604,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
294_20210814023615_30831,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
146_20200616021921_26547,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
118_20200827021322_36091,Collembola,"['Animalia', 'Collembola', 'Entognatha']"
126_20200820223550_11762,Insecta,"['Insecta', 'Animalia']"
192_20200715002421_21126,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
174_20200721220234_4214_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
290_20210822020243_15273,Auchenorrhyncha indet.,"['Insecta', 'Animalia', 'Hemiptera', 'Auchenorrhyncha indet.']"
182_20200727023130_40141,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
106_20200801005135_26540,Trichoptera,"['Insecta', 'Animalia', 'Trichoptera']"
192_20200714210351_1113,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
174_20200721135340_23729,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200724112811_1728_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200722171634_36466,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200715002421_21340,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200807032528_27322,Corixidae,"['Insecta', 'Animalia', 'Hemiptera', 'Corixidae']"
174_20200716033727_6696,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200722090027_28151,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
174_20200720062924_41859,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200722171634_36687,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
157_20200716013319_33342,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
178_20200618003626_8972,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200725054003_5329_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200816013928_5921,Insecta,"['Insecta', 'Animalia']"
126_20200701032017_4850,Coleoptera,"['Coleoptera', 'Insecta', 'Animalia']"
174_20200718013418_2433,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200810232553_1731,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
296_20210814003301_18854,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
196_20200813000842_16966,Geometridae,"['Insecta', 'Animalia', 'Geometridae', 'Lepidoptera']"
112_20200616025701_33735,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
174_20200724031729_9647,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
150_20200705002850_30701,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200712185739_425_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
153_20200616151144_3027,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200722171634_36380,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
178_20200618011145_15035,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
273_20210821215608_4339_t,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
192_20200722171634_36602,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
169_20200621012852_6028,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200604102304_34192,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
169_20200627014007_25095,Leptoceridae,"['Insecta', 'Animalia', 'Trichoptera', 'Leptoceridae']"
150_20200627012324_5792,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
133_20200709230804_13219,Leptoceridae,"['Insecta', 'Animalia', 'Trichoptera', 'Leptoceridae']"
106_20200808233954_13890,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200807003757_38951,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
273_20210806032338_4524,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
112_20200614231609_29286,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
174_20200720062924_41885,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
294_20210815032121_23177,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
192_20200806100621_3170_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
148_20200619011240_18250,Diptera,"['Insecta', 'Animalia', 'Diptera']"
112_20200617003854_2580_t,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
290_20210814040755_1301_t,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200810000545_5637_t,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200724112811_1702_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200723161615_6554,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
182_20200702010139_5179,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
174_20200724031729_9601,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
170_20200809002932_41232,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
182_20200727033622_19803,Insecta,"['Insecta', 'Animalia']"
178_20200618011145_15172,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200620201942_3311_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
157_20200707033040_20632,Diptera,"['Insecta', 'Animalia', 'Diptera']"
290_20210818134020_18860,Diptera,"['Insecta', 'Animalia', 'Diptera']"
148_20200801033235_37762,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200720015226_33152,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
274_20210911205856_26589,Limoniidae,"['Insecta', 'Animalia', 'Diptera', 'Limoniidae']"
174_20200725213207_26765,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
290_20210725044128_31851,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
168_20200606010753_23147,Araneae,"['Animalia', 'Araneae', 'Arachnida']"
192_20200712120837_2785,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200718104059_8726,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
271_20210820110737_19154,Formicidae,"['Hymenoptera', 'Insecta', 'Animalia', 'Formicidae']"
126_20200806035009_39582,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200721171515_16174,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200715165926_996_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
290_20210910224807_4344,Diptera,"['Insecta', 'Animalia', 'Diptera']"
196_20200808233933_620,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
261_20210815234950_25667,Insecta,"['Insecta', 'Animalia']"
294_20210816042254_26857,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
294_20210815044959_1584,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
245_20210912013910_5642,Parasitica indet.,"['Hymenoptera', 'Insecta', 'Animalia', 'Parasitica indet.']"
280_20210821224922_6962,Lepidoptera,"['Insecta', 'Animalia', 'Lepidoptera']"
295_20210805045410_27057,Diptera,"['Insecta', 'Animalia', 'Diptera']"
174_20200724031729_9660,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
149_20200630225347_41210,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
294_20210813053538_16597,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
294_20210805045832_3117,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
124_20200807221403_22189,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
126_20200729024425_3734,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
273_20210806032338_4522,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
192_20200719090142_33572,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
126_20200809010911_35542,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
108_20200730222724_23913,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
124_20200806235141_11423,Insecta,"['Insecta', 'Animalia']"
282_20210901055034_16676,Parasitica indet.,"['Hymenoptera', 'Insecta', 'Animalia', 'Parasitica indet.']"
294_20210813014708_41576,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
103_20200724013941_37952,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200714210351_1176,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
170_20200731225558_39535,Auchenorrhyncha indet.,"['Insecta', 'Animalia', 'Hemiptera', 'Auchenorrhyncha indet.']"
178_20200618003626_9238,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200724194326_17608,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
170_20200809015753_17059,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
191_20200811025644_24109,Hymenoptera,"['Hymenoptera', 'Insecta', 'Animalia']"
158_20200623232511_20020,Leptoceridae,"['Insecta', 'Animalia', 'Trichoptera', 'Leptoceridae']"
192_20200807030520_33006,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
111_20200611004906_12849,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200618121032_24460,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200712222206_5484,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
170_20200602232915_16540,Coleoptera,"['Coleoptera', 'Insecta', 'Animalia']"
118_20200616024821_20286,Trichoptera,"['Insecta', 'Animalia', 'Trichoptera']"
192_20200722171634_36666,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
111_20200611004906_12845,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
174_20200717221637_21979,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
168_20200729231600_19734,Cecidomyiidae,"['Insecta', 'Animalia', 'Diptera', 'Cecidomyiidae']"
149_20200708034742_2394_t,Limoniidae,"['Insecta', 'Animalia', 'Diptera', 'Limoniidae']"
192_20200725054003_5349_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
108_20200816023039_24035,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200725054003_5303_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
126_20200730020405_26800,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
173_20200529235605_33156,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
194_20200626014856_4644,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
112_20200615004920_5216,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
174_20200721220234_4250_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200721171515_16186,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
126_20200729001929_16277,Hymenoptera,"['Hymenoptera', 'Insecta', 'Animalia']"
168_20200731223841_27116,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200725001402_33237,Insecta,"['Insecta', 'Animalia']"
292_20210817030854_41774,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
294_20210816052732_18914,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
296_20210815033743_15384,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200811013033_1299,Diptera,"['Insecta', 'Animalia', 'Diptera']"
126_20200816012805_27857,Insecta,"['Insecta', 'Animalia']"
296_20210815045615_3441_t,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
148_20200622004744_2381,Chrysoteuchia culmella,"['Insecta', 'Animalia', 'Crambidae', 'Chrysoteuchia', 'Lepidoptera', 'Chrysoteuchia culmella']"
271_20210921091551_29001,Aphididae,"['Insecta', 'Animalia', 'Hemiptera', 'Aphididae']"
122_20200626020244_15901,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
185_20200810004505_16644,Diptera,"['Insecta', 'Animalia', 'Diptera']"
146_20200616005917_40839,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
172_20200615002813_3405,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
271_20210916022516_39855,Diptera,"['Insecta', 'Animalia', 'Diptera']"
192_20200715002421_21039,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
271_20210917222106_39709,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
290_20210921232158_25331,Aphididae,"['Insecta', 'Animalia', 'Hemiptera', 'Aphididae']"
148_20200618020832_7479,Chrysoteuchia culmella,"['Insecta', 'Animalia', 'Crambidae', 'Chrysoteuchia', 'Lepidoptera', 'Chrysoteuchia culmella']"
153_20200620201942_3308_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
178_20200618011145_14871,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200820221008_4784,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
178_20200618003626_9172,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
157_20200714033222_27997,Diptera,"['Insecta', 'Animalia', 'Diptera']"
191_20200801002418_18459,Diptera,"['Insecta', 'Animalia', 'Diptera']"
110_20200719000923_36743,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
130_20200717014814_11028,Lepidoptera,"['Insecta', 'Animalia', 'Lepidoptera']"
126_20200809024112_20979,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200604102304_34194,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200723161615_6349,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
290_20210911015521_2613,Diptera,"['Insecta', 'Animalia', 'Diptera']"
261_20210815234950_25657,Araneae,"['Animalia', 'Araneae', 'Arachnida']"
148_20200622053907_3799,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
271_20210913232222_32003,Insecta,"['Insecta', 'Animalia']"
244_20210907235117_25017,Insecta,"['Insecta', 'Animalia']"
148_20200623235351_29050,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200809024112_20990,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
